ID,NAME,DATE OF BIRTH,SEX,SOCIAL ID
19120097,Tran Thanh Tam,17/10/2000,Nu,6254554
19120099,Nguyen Le Thanh Thang,28/10/2000,Nam,6836539
19120101,Nguyen Tuan Thanh,17/11/2000,Nam,8711009
19120103,Nguyen Ngoc Thanh Thao,4/6/2000,Nu,8746546
19120105,Dang Ngoc Thi,17/9/2000,Nam,6758165
19120107,Ngo Ngoc Linh Thi,14/6/2000,Nam,3521718
19120109,Nguyen Thi Cam Thi,6/8/2000,Nu,8094019
19120111,Tran Duc Thien,2/11/2000,Nam,8726478
19120113,Tran Minh Thien,5/7/2000,Nam,8868992
19120115,Lai Thi Anh Thu,6/1/2000,Nu,3141619
