ID,NAME,DATE OF BIRTH,SEX,SOCIAL ID
20120064,Nguyen Huu Loc,25/10/2002,Nam,2587232
20120065,Nguyen Cam Ly,02/06/2002,Nam,5454686
20120066,Nguyen Quang Minh,11/07/2002,Nu,4660416
20120067,Ta Duong Anh Minh,21/12/2002,Nam,2499353
20120068,Ngo Quynh My,27/09/2002,Nam,6928825
20120069,Nguyen Mai Nhat My,19/11/2002,Nu,4935881
20120070,Tran Thi Truc My,28/09/2002,Nam,4886718
20120071,Dang Hoang Nam,24/07/2002,Nam,9063093
20120072,Ly Kim Ngan,07/11/2002,Nu,5148855
20120073,Nguyen Huynh Kim Ngan,01/08/2002,Nam,7525081
20120074,Tran Vu Kim Ngan,28/02/2002,Nam,3364640
20120075,Luong Ngoc Nghi,23/06/2002,Nu,9165601
20120076,Nguyen Phuong Nghi,07/05/2002,Nam,7034521
20120077,Tran Phuong Nghi,04/01/2002,Nam,6376942
20120078,Truong Tu Nghi,20/12/2002,Nu,8107546
20120079,Tran Le Thanh Ngoc,16/02/2002,Nam,9538736
20120080,Do Ngoc Phuong Nhi,12/03/2002,Nam,4704195
20120081,Nguyen Ngoc Nhu,24/02/2002,Nu,9875786
20120082,Tran Quynh Nhu,04/02/2002,Nam,9860002
20120083,Van Cam Nhung,12/10/2002,Nam,1216374
20120084,Ha Hoang Oanh,20/11/2002,Nu,1315471
20120085,Bui Tan Phat,18/01/2002,Nam,7419309
20120086,Nguyen Tan Phat,07/05/2002,Nam,6192477
20120087,Quach Hong Phat,14/10/2002,Nu,2978609
20120088,Huynh Yen Phi,12/05/2002,Nam,7099102
20120089,Nguyen Dinh Phi,02/01/2002,Nam,6292278
20120090,Lam Dinh Gia Phu,24/01/2002,Nu,2141377
20170001,Dinh Hoai Phuc,26/05/2002,Nam,4945850
20170002,Nguyen Hanh Phuc,04/02/2002,Nam,3944792
20170003,Nguyen Kim Phuc,08/04/2002,Nu,2355896
20170004,Nguyen Vuong Hoang Phuc,07/02/2002,Nam,6636008
20170005,Vo Nguyen Huu Phuoc,10/04/2002,Nam,2891017
20170006,Cao Xuan Hong Phuong,10/05/2002,Nu,4765280
20170007,Dang Thi Hoang Phuong,24/09/2002,Nam,4770602
20170008,Nguyen Hoang Phuong,17/11/2002,Nam,6354966
20170009,Nguyen Nam Phuong,08/11/2002,Nu,1479640
20170010,Tran Thi Thu Phuong,01/09/2002,Nam,7280101
20170011,Bui Dinh Minh Quan,12/07/2002,Nam,7043774
20170012,Nguyen Hoang Quan,05/02/2002,Nu,7601726
20170013,Nguyen Minh Quan,17/01/2002,Nam,2013507
20170014,Tran Quan,07/12/2002,Nam,1740123
20170015,Vo Minh Quan,04/10/2002,Nu,9742689
20170016,Huynh Nhat Quang,06/03/2002,Nam,9365492
20170017,Vo Phan Thi To Quyen,02/01/2002,Nam,7602135
20170018,Ho Thi Nhu Quynh,16/07/2002,Nu,3959861
20170019,Bui Huynh Phuoc Sang,19/12/2002,Nam,5450677
20170020,Tran Ngoc Son,21/02/2002,Nam,3762283
20170021,Tran Thanh Tam,02/01/2002,Nu,6254554
20170022,Nguyen Le Thanh Thang,06/08/2002,Nam,6836539
20170023,Nguyen Tuan Thanh,27/04/2002,Nam,8711009
20170024,Nguyen Ngoc Thanh Thao,19/01/2002,Nu,8746546
20170025,Dang Ngoc Thi,23/01/2002,Nam,6758165
20170026,Ngo Ngoc Linh Thi,01/05/2002,Nam,3521718
20170027,Nguyen Thi Cam Thi,15/07/2002,Nu,8094019
20170028,Tran Duc Thien,15/11/2002,Nam,8726478
20170029,Tran Minh Thien,29/05/2002,Nam,8868992
20170030,Lai Thi Anh Thu,22/09/2002,Nu,3141619
