ID,NAME,DATE OF BIRTH,SEX,SOCIAL ID
20150046,Le Nguyen Cuc Phuong,07/12/2002,Nam,3781196
20150047,Nguyen Thien Quang,17/12/2002,Nam,6666611
20150048,Tran Tu Quyen,09/05/2002,Nu,6173242
20150049,Nguyen Nhu Quynh,23/03/2002,Nam,5452463
20150050,Lam Thi Thu Thao,30/05/2002,Nam,8055699
20150051,Ho Ngoc Thao Tien,06/11/2002,Nu,6773088
20150052,Nguyen Huynh Thuy Tien,16/06/2002,Nam,2740475
20150053,Pham Thanh Toan,06/07/2002,Nam,2413356
20150054,Vo Hoai Nhu Truc,16/07/2002,Nu,2243065
20150055,Le Ngoc Minh Tuyen,09/04/2002,Nam,7670792
20150056,Truong Nhat Uyen,24/08/2002,Nam,7078102
20150057,Ngo Minh Chau,17/02/2002,Nu,7805730
20150058,Duong Tan Dat,23/01/2002,Nam,1345252
20150059,Tran Thi My Dieu,22/12/2002,Nam,5379104
20150060,Do Huy Du,21/08/2002,Nu,3877441
20110001,Pham Huy Truong Duc,23/05/2002,Nam,9171891
20110002,Vo Ho Thanh Duy,21/08/2002,Nam,2307147
20110003,Le Thi Thuy Giang,04/06/2002,Nu,3561181
20110004,Huynh Gia Han,12/09/2002,Nam,1237672
20110005,Nguyen Thi Ngoc Han,04/01/2002,Nam,1912271
20110006,Ngo Quoc Hieu,28/05/2002,Nu,9568514
20110007,Tran Minh Hoang,10/12/2002,Nam,5673076
20110008,Nguyen Thi My Hong,24/11/2002,Nam,2818979
20110009,Truong Nguyen Ngoc Hue,29/2/2002,Nu,4581835
20110010,Van Ngoc Khai,08/04/2002,Nam,4514975
20110011,Vo Phi Long,30/09/2002,Nam,9413243
20110012,Nguyen Viet Luan,30/09/2002,Nu,7760233
20110013,Khuu To Nga,03/08/2002,Nam,3404299
20110014,Nguyen Luu Bich Ngan,14/11/2002,Nam,8019733
20110015,Truong Thanh Ngan,09/09/2002,Nu,7178602
20110016,Vo Thanh Ngan,10/06/2002,Nam,3367349
20110017,Vo Thi Hong Nguyen,10/03/2002,Nam,7644918
20110018,Nguyen Quynh Nhu,10/05/2002,Nu,1004162
20110019,Phan Thi Hoang Oanh,21/08/2002,Nam,3375481
20110020,Bui Lieu Mai Phuong,15/03/2002,Nam,6643584
20110021,Pham Le Anh Quan,30/04/2002,Nu,7487098
20110022,Nguyen Ngoc Nhu Quynh,17/12/2002,Nam,2070463
20110023,Dinh Van Thanh,07/07/2002,Nam,3982751
20110024,Le Hoang Nhu Thao,07/07/2002,Nu,1451386
20110025,Nguyen Thi Phuong Thi,17/12/2002,Nam,8112057
20110026,Mai Huynh Chi Thong,10/04/2002,Nam,9445872
20110027,Dang Pham Anh Thu,23/06/2002,Nu,3698812
20110028,Ngo Thien Thu,18/09/2002,Nam,1896238
20110029,Nguyen Chi Hoa Thuan,25/09/2002,Nam,7036457
20110030,Cao Hoang Khanh Tran,10/12/2002,Nu,3928925
